plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,#stem_rot_plant,lodging,plant_type,Early Bulking,CBB_score,#CWBD_plants,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024204DMEPR_tanhoi_rep2_VF22-0098_107,VF22-0098,HL-S11,IBA980581,tanhoi,107,10,4,2,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,3,brown,34.8,28.8,0
2024204DMEPR_tanhoi_rep2_VH22-0491_108,VH22-0491,CR27-20,NA,tanhoi,108,10,3,2,0,0.9,1,1,1,1,0,0,1,,1,0,cylindrical,1,dark_brown,13,28,22.22
2024204DMEPR_tanhoi_rep2_VH22-0166_109,VH22-0166,CR24-16,NA,tanhoi,109,10,2,2,0,0.8,1,1,1,1,0,0,1,,1,2,cylindrical,1,dark_brown,21.6,23.5,37.5
2024204DMEPR_tanhoi_rep2_KU50_110,KU50,NA,NA,tanhoi,110,10,1,2,1,1,2,3,3,3,0,0,2,,1,3,cylindrical,1,Yellow,26.8,24,0
2024204DMEPR_tanhoi_rep2_HLH22-0623_111,HLH22-0623,VN19-773,NA,tanhoi,111,11,1,2,0,1,1,2,3,2,0,0,1,,1,0,cylindrical,1,Yellow,20.5,30,0
2024204DMEPR_tanhoi_rep2_VF22-0103_112,VF22-0103,HL-S11,IBA980581,tanhoi,112,11,2,2,0,1,1,1,1,1,0,0,1,,1,0,conical,1,Yellow,24.2,21.4,20
2024204DMEPR_tanhoi_rep2_HLF22-0208_113,HLF22-0208,HL-S11,IBA980581,tanhoi,113,11,3,2,0,0.4,1,1,1,1,0,0,2,,1,0,cylindrical,3,Yellow,13.6,24,25
2024204DMEPR_tanhoi_rep2_VH22-0120_114,VH22-0120,IBA980581,NA,tanhoi,114,11,4,2,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,2,dark_brown,23,15.2,40
2024204DMEPR_tanhoi_rep2_VH22-0063_115,VH22-0063,CR25-4,NA,tanhoi,115,11,5,2,0,1,1,1,1,1,0,0,1,,1,0,conical,3,dark_brown,10,27.4,40
2024204DMEPR_tanhoi_rep2_VF22-0197_116,VF22-0197,HL-S11,AR35-1,tanhoi,116,11,6,2,0,1,1,1,1,1,0,0,1,,1,0,conical,1,Yellow,4.2,24.5,100
2024204DMEPR_tanhoi_rep2_VF22-0142_117,VF22-0142,HL-S11,IBA980581,tanhoi,117,11,7,2,0,0.6,1,1,1,1,0,0,2,,1,0,cylindrical,3,Yellow,21.6,24.9,16.67
2024204DMEPR_tanhoi_rep2_VH22-0257_118,VH22-0257,CR24-16,NA,tanhoi,118,11,8,2,0,0.7,1,1,1,1,0,0,2,,1,3,cylindrical,1,dark_brown,25.2,24.6,28.57
2024204DMEPR_tanhoi_rep2_HLH22-0055_119,HLH22-0055,KU50,NA,tanhoi,119,11,9,2,0,0.7,3,3,3,2,1,0,2,,1,0,cylindrical,1,Yellow,17.8,27.8,0
2024204DMEPR_tanhoi_rep2_VH22-0280_120,VH22-0280,CR24-16,NA,tanhoi,120,11,10,2,0,0.9,1,1,1,1,3,0,3,,3,3,conical,1,Yellow,15,22.6,33.33
2024204DMEPR_tanhoi_rep2_VH22-0479_121,VH22-0479,CR27-20,NA,tanhoi,121,11,11,2,0,0.5,1,1,1,1,0,0,2,,1,0,cylindrical,3,dark_brown,5.6,20,100
2024204DMEPR_tanhoi_rep2_IBA980581_122,IBA980581,NA,NA,tanhoi,122,12,11,2,1,1,1,1,1,1,0,0,1,,1,0,cylindrical,1,cream,37.8,20.5,10
2024204DMEPR_tanhoi_rep2_VH22-0277_123,VH22-0277,CR24-16,NA,tanhoi,123,12,10,2,0,0.9,1,1,2,2,3,0,1,,1,0,cylindrical,1,dark_brown,11,27.4,44.44
2024204DMEPR_tanhoi_rep2_VF22-0112_124,VF22-0112,KM419,TMEB419,tanhoi,124,12,9,2,0,0.9,1,1,1,1,0,0,1,,1,0,cylindrical,1,cream,29.4,28.7,22.22
2024204DMEPR_tanhoi_rep2_VF22-0127_125,VF22-0127,HL-S11,IBA980581,tanhoi,125,12,8,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA
2024204DMEPR_tanhoi_rep2_VH22-0202_126,VH22-0202,CR24-16,NA,tanhoi,126,12,7,2,0,0.7,1,1,1,1,2,0,2,,3,3,cylindrical,3,dark_brown,19.2,16.07,71.43
2024204DMEPR_tanhoi_rep2_VF22-0144_127,VF22-0144,HL-S11,IBA980581,tanhoi,127,12,6,2,0,0.9,1,1,1,1,2,0,3,,1,0,cylindrical,1,cream,33,25.4,0
2024204DMEPR_tanhoi_rep2_VH22-0336_128,VH22-0336,TMEB419,NA,tanhoi,128,12,5,2,0,1,1,1,1,1,1,0,1,,1,0,cylindrical,1,Yellow,31,25.1,0
2024204DMEPR_tanhoi_rep2_VH22-0119_129,VH22-0119,IBA980581,NA,tanhoi,129,12,4,2,0,0.9,1,1,1,1,0,0,2,,1,0,cylindrical,1,Yellow,0,24.5,0
2024204DMEPR_tanhoi_rep2_VH22-0482_130,VH22-0482,CR27-20,NA,tanhoi,130,12,3,2,0,0.3,1,1,1,1,0,1,2,,1,0,cylindrical,3,dark_brown,4.4,23.22,0
2024204DMEPR_tanhoi_rep2_VF22-0108_131,VF22-0108,KM419,TMEB419,tanhoi,131,12,2,2,0,0.9,1,1,1,1,0,0,1,,1,0,cylindrical,1,Yellow,29.2,26.5,0
2024204DMEPR_tanhoi_rep2_HLF22-0048_132,HLF22-0048,TMEB419,KU50,tanhoi,132,12,1,2,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,1,cream,28.8,29.4,0
