plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,lodging,plant_type,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024203DMEPR_chauthanh_rep1_VH22-0202_16,VH22-0202,CR24-16,NA,chauthanh,16,2,7,1,0,0.7,1,1,1,1,0,2,conical,2,dark_brown,8,16.8,100.00
2024203DMEPR_chauthanh_rep1_VF22-0024_17,VF22-0024,CR24-16,HL-S14,chauthanh,17,2,6,1,0,1,1,1,1,1,0,2,conical,2,brown,0.8,13.67,90.00
2024203DMEPR_chauthanh_rep1_VH22-0244_18,VH22-0244,CR24-16,NA,chauthanh,18,2,5,1,0,1,1,1,1,1,NA,1,NA,NA,dark_brown,3.8,16.09,100.00
2024203DMEPR_chauthanh_rep1_VF22-0031_19,VF22-0031,TMEB419,KU50,chauthanh,19,2,4,1,0,1,1,1,1,1,1,1,cylindrical,1,dark_brown,7,25,100.00
2024203DMEPR_chauthanh_rep1_VF22-0019_20,VF22-0019,CR24-16,KU50,chauthanh,20,2,3,1,0,0.8,1,1,1,1,0,2,conical,1,dark_brown,10.6,21.5,75.00
2024203DMEPR_chauthanh_rep1_VH22-0166_21,VH22-0166,CR24-16,NA,chauthanh,21,2,2,1,0,0.9,1,1,1,1,0.9,1,cylindrical,1,dark_brown,4.4,27.39,88.89
2024203DMEPR_chauthanh_rep1_VH22-0079_22,VH22-0079,Rayong11,NA,chauthanh,22,2,1,1,0,1,1,1,1,1,0.6,2,cylindrical,1,cream,2.2,17.62,100.00
2024203DMEPR_chauthanh_rep1_VH22-0241_23,VH22-0241,CR24-16,NA,chauthanh,23,3,1,1,0,1,1,1,1,1,1,1,conical,2,dark_brown,0, NA ,70.00
2024203DMEPR_chauthanh_rep1_VF22-0013_24,VF22-0013,CR24-16,HL-S14,chauthanh,24,3,2,1,0,1,1,1,1,1,1,1,conical,3,dark_brown,0, NA ,100.00
2024203DMEPR_chauthanh_rep1_VH22-0266_25,VH22-0266,CR24-16,NA,chauthanh,25,3,3,1,0,1,1,1,1,1,0.3,1,cylindrical,1,cream,20.2,25.5,20.00
2024203DMEPR_chauthanh_rep1_VH22-0369_26,VH22-0369,TMEB419,NA,chauthanh,26,3,4,1,0,1,1,1,2,1,0.3,1,cylindrical,1,dark_brown,17.2,22.8,60.00
2024203DMEPR_chauthanh_rep1_VF22-0103_27,VF22-0103,HL-S11,IBA980581,chauthanh,27,3,5,1,0,1,1,1,1,1,0.3,1,cylindrical,2,cream,6.2,12.5,80.00
2024203DMEPR_chauthanh_rep1_KU50_28,KU50,NA,NA,chauthanh,28,3,6,1,1,1,1,2,3,3,0.9,3,conical,2,cream,2.8,14.87,100.00
2024203DMEPR_chauthanh_rep1_VF22-0101_29,VF22-0101,HL-S11,IBA980581,chauthanh,29,3,7,1,0,1,1,1,1,1,0,1,cylindrical,2,brown,14.4,22.2,60.00
2024203DMEPR_chauthanh_rep1_VF22-0130_30,VF22-0130,HL-S11,IBA980581,chauthanh,30,3,8,1,0,1,1,1,1,1,0.1,1,conical,2,brown,12.4,16.67,70.00
2024203DMEPR_chauthanh_rep1_VH22-0272_31,VH22-0272,CR24-16,NA,chauthanh,31,3,9,1,0,0.9,1,1,1,1,0,2,cylindrical,2,dark_brown,2,18.56,88.89
2024203DMEPR_chauthanh_rep1_VH22-0187_32,VH22-0187,CR24-16,NA,chauthanh,32,3,10,1,0,0.7,1,1,1,1,0,1,NA,NA,NA,0, NA ,100.00
2024203DMEPR_chauthanh_rep1_VF22-0161_33,VF22-0161,HL-S11,IBA980581,chauthanh,33,3,11,1,0,0.5,1,1,1,1,0.9,1,cylindrical,3,brown,4.4,12.12,120.00
2024203DMEPR_chauthanh_rep1_VH22-0239_34,VH22-0239,CR24-16,NA,chauthanh,34,4,11,1,0,0.7,1,1,1,1,0.5,3,NA,NA,NA,0, NA ,100.00
2024203DMEPR_chauthanh_rep1_VF22-0036_35,VF22-0036,TMEB419,KU50,chauthanh,35,4,10,1,0,1,1,1,1,1,0.3,1,cylindrical,1,cream,9.6,18.5,70.00
2024203DMEPR_chauthanh_rep1_VH22-0267_36,VH22-0267,CR24-16,NA,chauthanh,36,4,9,1,0,0.8,1,1,1,1,0,1,conical,1,dark_brown,11.8,26.2,125.00
2024203DMEPR_chauthanh_rep1_VH22-0491_37,VH22-0491,CR27-20,NA,chauthanh,37,4,8,1,0,1,1,1,1,1,0.5,2,NA,NA,NA,0, NA ,100.00
2024203DMEPR_chauthanh_rep1_VF22-0213_38,VF22-0213,CR27-20,HL-S11,chauthanh,38,4,7,1,0,1,1,1,1,1,0,2,cylindrical,1,dark_brown,49.4,22.5,60.00
2024203DMEPR_chauthanh_rep1_VH22-0552_39,VH22-0552,AR9-12,NA,chauthanh,39,4,6,1,0,0.3,1,1,1,1,1,3,NA,NA,NA,0.6, NA ,100.00
2024203DMEPR_chauthanh_rep1_VH22-0136_40,VH22-0136,IBA980581,NA,chauthanh,40,4,5,1,0,1,1,1,1,1,0,1,cylindrical,1,dark_brown,10.2,19,100.00
2024203DMEPR_chauthanh_rep1_VH22-0004_41,VH22-0004,IBA920057,NA,chauthanh,41,4,4,1,0,1,1,1,1,1,0.4,1,conical,1,dark_brown,5.2,20.93,100.00
2024203DMEPR_chauthanh_rep1_VH22-0119_42,VH22-0119,IBA980581,NA,chauthanh,42,4,3,1,0,1,1,1,1,1,0,3,cylindrical,1,brown,25.2,24,40.00
2024203DMEPR_chauthanh_rep1_VH22-0262_43,VH22-0262,CR24-16,NA,chauthanh,43,4,2,1,0,1,1,1,1,1,0.4,2,cylindrical,1,cream,22.8,17.2,0.00
2024203DMEPR_chauthanh_rep1_VH22-0197_44,VH22-0197,CR24-16,NA,chauthanh,44,4,1,1,0,0.9,1,1,1,1,0,1,conical,2,dark_brown,18,18.5,11.11
2024203DMEPR_chauthanh_rep1_VF22-0167_45,VF22-0167,HL-S11,IBA980581,chauthanh,45,5,1,1,0,0.6,1,1,1,1,0,1,cylindrical,1,cream,19.6,22.4,50.00
2024203DMEPR_chauthanh_rep1_VF22-0097_46,VF22-0097,HL-S11,IBA980581,chauthanh,46,5,2,1,0,1,1,1,1,1,0,1,conical,1,dark_brown,53.8,25.5,30.00
2024203DMEPR_chauthanh_rep1_VF22-0127_47,VF22-0127,HL-S11,IBA980581,chauthanh,47,5,3,1,0,1,1,1,1,1,0,1,cylindrical,1,brown,37,24.5,0.00
2024203DMEPR_chauthanh_rep1_TMEB419_48,TMEB419,NA,NA,chauthanh,48,5,4,1,1,0.8,1,1,1,1,0,1,cylindrical,1,brown,7.2,18.9,87.50
2024203DMEPR_chauthanh_rep1_VF22-0112_49,VF22-0112,KM419,TMEB419,chauthanh,49,5,5,1,0,1,1,1,1,1,0,1,cylindrical,1,cream,16.8,20,50.00
2024203DMEPR_chauthanh_rep1_VH22-0257_50,VH22-0257,CR24-16,NA,chauthanh,50,5,6,1,0,1,1,1,1,1,1,1,conical,1,dark_brown,2,23.96,70.00
2024203DMEPR_chauthanh_rep1_VH22-0019_51,VH22-0019,KU50,NA,chauthanh,51,5,7,1,0,1,1,1,1,1,0,1,cylindrical,1,dark_brown,33,21.2,80.00
2024203DMEPR_chauthanh_rep1_VH22-0006_52,VH22-0006,IBA920057,NA,chauthanh,52,5,8,1,0,1,1,1,1,1,1,1,cylindrical,1,cream,1.6,21.92,80.00
2024203DMEPR_chauthanh_rep1_VF22-0121_53,VF22-0121,Rayong 11,AR35-1,chauthanh,53,5,9,1,0,1,1,1,1,1,0.1,1,conical,1,dark_brown,17,23,100.00
2024203DMEPR_chauthanh_rep1_VF22-0098_54,VF22-0098,HL-S11,IBA980581,chauthanh,54,5,10,1,0,1,1,1,1,1,0,1,cylindrical,1,brown,10,19.4,50.00
2024203DMEPR_chauthanh_rep1_VH22-0482_55,VH22-0482,CR27-20,NA,chauthanh,55,5,11,1,0,1,1,1,1,1,1,1,conical,3,dark_brown,0, NA ,100.00
2024203DMEPR_chauthanh_rep1_CR24-16_56,CR24-16,NA,NA,chauthanh,56,6,11,1,1,1,1,1,1,1,1,1,conical,1,dark_brown,1.2,21.63,80.00
2024203DMEPR_chauthanh_rep1_VH22-0159_57,VH22-0159,CR24-16,NA,chauthanh,57,6,10,1,0,1,1,1,1,1,0,1,conical,1,brown,3,17.94,100.00
2024203DMEPR_chauthanh_rep1_VF22-0147_58,VF22-0147,HL-S11,IBA980581,chauthanh,58,6,9,1,0,0.9,1,1,1,1,0.3,1,conical,1,dark_brown,1.4,22.8,66.67
2024203DMEPR_chauthanh_rep1_VH22-0063_59,VH22-0063,CR25-4,NA,chauthanh,59,6,8,1,0,1,1,1,1,1,0.6,1,conical,3,dark_brown,0, NA ,100.00
2024203DMEPR_chauthanh_rep1_VH22-0220_60,VH22-0220,CR24-16,NA,chauthanh,60,6,7,1,0,1,1,1,1,1,0,1,conical,1,dark_brown,26.2,19.16,40.00
2024203DMEPR_chauthanh_rep1_VH22-0070_61,VH22-0070,CR25-4,NA,chauthanh,61,6,6,1,0,0.9,1,1,1,1,1,1,cylindrical,2,brown,1.2,13.67,88.89
2024203DMEPR_chauthanh_rep1_VH22-0479_62,VH22-0479,CR27-20,NA,chauthanh,62,6,5,1,0,1,1,1,1,1,0,1,cylindrical,1,brown,2.4,14.01,100.00
2024203DMEPR_chauthanh_rep1_VH22-0282_63,VH22-0282,CR24-16,NA,chauthanh,63,6,4,1,0,1,1,1,1,1,0.7,1,cylindrical,1,dark_brown,10.4,20.3,60.00
2024203DMEPR_chauthanh_rep1_VF22-0197_64,VF22-0197,HL-S11,AR35-1,chauthanh,64,6,3,1,0,1,1,1,1,1,0.1,1,cylindrical,1,cream,22.2,25.3,60.00
2024203DMEPR_chauthanh_rep1_VH22-0511_65,VH22-0511,AR37-103,NA,chauthanh,65,6,2,1,0,0.9,1,1,1,1,0,1,cylindrical,1,dark_brown,10.4,18.1,33.33
2024203DMEPR_chauthanh_rep1_VF22-0071_66,VF22-0071,CR27-20,HL-S11,chauthanh,66,6,1,1,0,1,1,1,1,1,0.8,1,conical,2,cream,2.4,21.08,100.00
2024203DMEPR_chauthanh_rep1_VF22-0005_67,VF22-0005,CR24-16,HL-S14,chauthanh,67,7,1,1,0,0.9,1,1,1,1,1,1,conical,2,cream,1, NA ,111.11
2024203DMEPR_chauthanh_rep1_VF22-0089_68,VF22-0089,CR24-16,HL-S11,chauthanh,68,7,2,1,0,0.5,1,1,1,1,0,1,cylindrical,3,dark_brown,4,18.87,100.00
