plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,lodging,plant_type,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024203DMEPR_chauthanh_rep2_VH22-0244_140,VH22-0244,CR24-16,NA,chauthanh,140,13,8,2,0,1,1,1,1,1,0.1,1,cylindrical,1,dark_brown,11.2,15,80.00
2024203DMEPR_chauthanh_rep2_VH22-0239_141,VH22-0239,CR24-16,NA,chauthanh,141,13,9,2,0,1,1,1,1,1,0,1,cylindrical,1,cream,17.6,22.5,80.00
2024203DMEPR_chauthanh_rep2_VH22-0241_142,VH22-0241,CR24-16,NA,chauthanh,142,13,10,2,0,0.9,1,1,1,1,1,1,conical,1,dark_brown,6,18.98,77.78
2024203DMEPR_chauthanh_rep2_VH22-0262_143,VH22-0262,CR24-16,NA,chauthanh,143,13,11,2,0,1,1,1,1,1,1,1,NA,NA,NA,2.8,21.57,90.00
2024203DMEPR_chauthanh_rep2_VS22-0002_144,VS22-0002,CR24-16,CR24-16,chauthanh,144,14,11,2,0,1,1,1,1,1,0.1,1,conical,1,dark_brown,6.6,19.05,90.00
2024203DMEPR_chauthanh_rep2_VF22-0013_145,VF22-0013,CR24-16,HL-S14,chauthanh,145,14,10,2,0,1,1,1,1,1,0.1,1,cylindrical,1,cream,23.8,19.6,40.00
2024203DMEPR_chauthanh_rep2_VH22-0491_146,VH22-0491,CR27-20,NA,chauthanh,146,14,9,2,0,1,1,1,1,1,0.8,1,conical,1,brown,2,19.93,100.00
2024203DMEPR_chauthanh_rep2_IBA980581_147,IBA980581,NA,NA,chauthanh,147,14,8,2,1,1,1,1,1,1,0.6,1,conical,1,brown,5.2,17.22,90.00
2024203DMEPR_chauthanh_rep2_VH22-0119_148,VH22-0119,IBA980581,NA,chauthanh,148,14,7,2,0,1,1,1,1,1,0,2,cylindrical,1,brown,40,21.3,40.00
2024203DMEPR_chauthanh_rep2_VF22-0130_149,VF22-0130,HL-S11,IBA980581,chauthanh,149,14,6,2,0,0.9,1,1,1,1,0.3,1,cylindrical,1,cream,17.2,14,33.33
2024203DMEPR_chauthanh_rep2_VF22-0019_150,VF22-0019,CR24-16,KU50,chauthanh,150,14,5,2,0,0.8,1,1,1,1,0.8,1,cylindrical,3,dark_brown,5,20.18,125.00
2024203DMEPR_chauthanh_rep2_VH22-0166_151,VH22-0166,CR24-16,NA,chauthanh,151,14,4,2,0,1,1,1,1,1,1,1,NA,NA,cream,1,21.08,80.00
2024203DMEPR_chauthanh_rep2_VF22-0101_152,VF22-0101,HL-S11,IBA980581,chauthanh,152,14,3,2,0,1,1,1,1,1,0.7,1,cylindrical,1,brown,9.4,22.2,80.00
2024203DMEPR_chauthanh_rep2_VH22-0220_153,VH22-0220,CR24-16,NA,chauthanh,153,14,2,2,0,1,1,1,1,1,0.6,1,cylindrical,3,dark_brown,5,18.43,100.00
2024203DMEPR_chauthanh_rep2_VH22-0280_154,VH22-0280,CR24-16,NA,chauthanh,154,14,1,2,0,1,1,1,1,1,1,1,conical,3,brown,0, NA ,100.00
