"plot_name","accession_name","location","female_parents","male_parents","plot_number","row_number","column_number","rep_number","germination_rate","CMD_harvest","root_shape","root_type","plot_weight","starch_content","percentage_root_rot","percentage_lodging","control","CMD_1mon","CMD_3mon","CMD_6mon","lodging1_3","plant_type1_5","root_skin_color1_3","vigor_1mon","vigor_3mon","trial_name","plot_width","plot_length","harvest_number","planted_number_plot"
"2024201DMEAR_chauthanh_rep2_IBA980581_26","IBA980581","chauthanh",NA,NA,26,4,3,2,0.92,1,1,2,10.5,12.1,100,NA,1,1,1,1,1,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VH21-0072_27","VH21-0072","chauthanh","IBA972205",NA,27,4,2,2,1,1,3,2,13,10,100,NA,0,1,1,1,1,3,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VH21-0172_28","VH21-0172","chauthanh","IBA980505",NA,28,4,1,2,0.96,1,3,2,15,17.5,100,NA,0,1,1,1,0.5,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VF21-0017_29","VF21-0017","chauthanh","HL-S14","AR9-18",29,5,1,2,0.92,1,1,2,20.2,24.3,0,NA,0,1,1,1,0.8,3,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VF21-0184_30","VF21-0184","chauthanh","KM140","AR9-18",30,5,2,2,1,1,1,2,37.6,14.9,0,NA,0,1,1,1,0.5,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_TMEB419_31","TMEB419","chauthanh",NA,NA,31,5,3,2,0.08,1,3,1,3,16,0,NA,1,1,1,1,1,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VH21-0708_32","VH21-0708","chauthanh","KU50",NA,32,5,4,2,0.96,1,3,1,8.4,11.1,0,NA,0,1,1,1,0.8,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VH21-0061_33","VH21-0061","chauthanh","IBA972205",NA,33,5,5,2,1,1,3,1,4.6,19,100,NA,0,1,1,1,1,1,3,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VH21-0016_34","VH21-0016","chauthanh","IBA920057",NA,34,5,6,2,0.96,1,3,1,30,20,100,NA,0,1,1,1,0.8,1,3,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VH21-0402_35","VH21-0402","chauthanh","KM140",NA,35,5,7,2,1,1,3,2,52.6,13.5,72.73,NA,0,1,1,1,0.5,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_KU50_36","KU50","chauthanh",NA,NA,36,6,7,2,1,4,3,1,54,16.8,20,NA,1,2,3,4,0.9,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VH21-1087_37","VH21-1087","chauthanh","TMEB419",NA,37,6,6,2,1,1,3,1,86.6,26.2,36,NA,0,1,1,1,0,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VF21-0055_38","VF21-0055","chauthanh","HL-S14","AR9-18",38,6,5,2,1,1,3,1,25.6,18,72,NA,0,1,1,1,0.5,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_KM505_39","KM505","chauthanh",NA,NA,39,6,4,2,1,1,3,1,55.4,19.4,52,NA,1,1,2,1,0,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VF21-0005_40","VF21-0005","chauthanh","HL-S13","CR24-3",40,6,3,2,1,1,3,2,37.5,18,48,NA,0,1,1,1,0.5,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VF21-0109_41","VF21-0109","chauthanh","HL-S13","AR9-18",41,6,2,2,1,1,1,2,52.6,22.8,57.89,NA,0,1,1,1,0,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_CR24-16_42","CR24-16","chauthanh",NA,NA,42,6,1,2,0.52,1,1,1,11,20,100,NA,1,1,1,1,0.5,3,3,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_KU50_43","KU50","chauthanh",NA,NA,43,7,1,3,1,3,3,1,19.2,20.1,68,NA,1,2,3,4,0.9,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_IBA980581_44","IBA980581","chauthanh",NA,NA,44,7,2,3,1,1,1,1,12.2,14.6,68,NA,1,1,1,1,0.8,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VH21-0477_45","VH21-0477","chauthanh","AR9-18",NA,45,7,3,3,0.96,1,3,2,9.7,22.7,58.33,NA,0,1,1,1,1,2,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VH21-0072_46","VH21-0072","chauthanh","IBA972205",NA,46,7,4,3,1,1,3,3,31.4,15,72,NA,0,1,1,1,1,3,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VF21-0017_47","VF21-0017","chauthanh","HL-S14","AR9-18",47,7,5,3,1,1,3,1,85.2,25.4,28,NA,0,1,1,1,0,2,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VF21-0055_48","VF21-0055","chauthanh","HL-S14","AR9-18",48,7,6,3,1,1,1,1,50.4,21.8,76,NA,0,1,1,1,0,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VH21-0203_49","VH21-0203","chauthanh","IBA980505",NA,49,7,7,3,1,1,3,1,150,17.2,12,NA,0,1,1,1,0,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VF21-0005_50","VF21-0005","chauthanh","HL-S13","CR24-3",50,8,7,3,0.96,1,3,1,101.2,18,8.33,NA,0,1,1,1,0,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VF21-0109_51","VF21-0109","chauthanh","HL-S13","AR9-18",51,8,6,3,1,1,1,1,88.8,24.2,12,NA,0,1,1,1,0,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VH21-0779_52","VH21-0779","chauthanh","KU50",NA,52,8,5,3,0.96,1,3,1,53.4,19.4,41.67,NA,0,1,1,1,0.3,2,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VH21-0402_53","VH21-0402","chauthanh","KM140",NA,53,8,4,3,1,1,1,1,14.2,15,84,NA,0,1,1,1,1,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VH21-1140_54","VH21-1140","chauthanh","CR24-12",NA,54,8,3,3,1,1,1,1,21.4,23.7,72,NA,0,1,1,1,0.9,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_KM505_55","KM505","chauthanh",NA,NA,55,8,2,3,1,2,1,1,33.2,20,60,NA,1,1,1,2,0,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VH21-1087_56","VH21-1087","chauthanh","TMEB419",NA,56,8,1,3,1,1,1,1,13.2,23.8,76,NA,0,1,1,1,0.8,2,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_TMEB419_57","TMEB419","chauthanh",NA,NA,57,9,1,3,0.76,1,3,1,4.6,18,84.21,NA,1,1,1,1,1,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_CR24-16_58","CR24-16","chauthanh",NA,NA,58,9,2,3,0.72,1,1,1,4.4,20.7,66.67,NA,1,1,1,1,1,1,3,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VH21-0016_59","VH21-0016","chauthanh","IBA920057",NA,59,9,3,3,1,1,3,1,33,17.8,68,NA,0,1,1,1,0.8,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VH21-0061_60","VH21-0061","chauthanh","IBA972205",NA,60,9,4,3,1,1,1,1,11.8,17.5,76,NA,0,1,1,1,1,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VH21-0708_61","VH21-0708","chauthanh","KU50",NA,61,9,5,3,1,1,3,1,52.4,15.5,56,NA,0,1,1,1,0,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VH21-0172_62","VH21-0172","chauthanh","IBA980505",NA,62,9,6,3,1,1,3,1,63.6,13.5,28,NA,0,1,1,1,0,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep3_VF21-0184_63","VF21-0184","chauthanh","KM140","AR9-18",63,9,7,3,1,1,3,1,107.2,16.6,0,NA,0,1,1,1,0,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024202DMEAR_tanhoi_rep1_VF21-0149_1","VF21-0149","tanhoi","KM140","AR9-18",1,1,1,1,1,1,3,1,38,17,0,NA,0,1,1,1,0,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0529_2","VH21-0529","tanhoi","AR9-18",NA,2,1,2,1,0.84,1,3,2,31.5,19,0,NA,0,1,1,1,0,1,3,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0203_3","VH21-0203","tanhoi","IBA980505",NA,3,1,3,1,1,1,3,1,77,18.7,0,NA,0,1,1,1,0,2,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0779_4","VH21-0779","tanhoi","KU50",NA,4,1,4,1,1,1,3,2,17,22.4,0,NA,0,1,1,1,0.7,3,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0201_5","VH21-0201","tanhoi","IBA980505",NA,5,1,5,1,1,1,3,1,94,15,0,NA,0,1,1,1,0,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0019_6","VH21-0019","tanhoi","IBA920057",NA,6,1,6,1,0.84,1,3,3,33,16.5,0,NA,0,1,1,1,0.5,1,3,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VF21-0055_7","VF21-0055","tanhoi","HL-S14","AR9-18",7,2,6,1,0.88,1,3,1,63,21.8,0,NA,0,1,1,1,0.04,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VF21-0017_8","VF21-0017","tanhoi","HL-S14","AR9-18",8,2,5,1,1,1,3,2,55,24.8,0,NA,0,1,1,1,0,2,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0681_9","VH21-0681","tanhoi","KU50",NA,9,2,4,1,0.92,1,3,3,19,19.5,0,NA,0,1,1,1,0.5,2,3,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0477_10","VH21-0477","tanhoi","AR9-18",NA,10,2,3,1,0.72,1,3,3,27,25,0,NA,0,1,1,1,0.08,2,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_CR24-16_11","CR24-16","tanhoi",NA,NA,11,2,2,1,0.76,1,1,1,19,21,0,NA,1,1,1,1,0,2,3,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0402_12","VH21-0402","tanhoi","KM140",NA,12,2,1,1,0.96,1,3,1,78,22.3,0,NA,0,1,1,1,0,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_TMEB419_13","TMEB419","tanhoi",NA,NA,13,3,1,1,0.96,1,3,1,40,26,0,NA,1,1,1,1,0,1,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0500_14","VH21-0500","tanhoi","AR9-18",NA,14,3,2,1,1,1,3,3,52,21.3,0,NA,0,1,1,1,0.08,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-1087_15","VH21-1087","tanhoi","TMEB419",NA,15,3,3,1,0.96,1,3,1,68,24,0,NA,0,1,1,1,0,2,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0061_16","VH21-0061","tanhoi","IBA972205",NA,16,3,4,1,0.88,1,1,1,21,22,0,NA,0,1,1,1,0.3,1,3,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-1140_17","VH21-1140","tanhoi","CR24-12",NA,17,3,5,1,1,1,1,1,7.5,18.8,0,NA,0,1,1,1,0,2,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0095_18","VH21-0095","tanhoi","IBA972205",NA,18,3,6,1,0.92,1,3,3,40.5,17.8,0,NA,0,1,1,1,0.5,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-1145_19","VH21-1145","tanhoi","CR24-12",NA,19,4,6,1,0.96,1,3,1,42.5,24.4,0,NA,0,1,1,1,0,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0708_20","VH21-0708","tanhoi","KU50",NA,20,4,5,1,0.92,1,3,2,53.5,19.5,0,NA,0,1,1,1,0,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0016_21","VH21-0016","tanhoi","IBA920057",NA,21,4,4,1,0.76,1,3,1,44,24.4,0,NA,0,1,1,1,0.04,1,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_KU50_22","KU50","tanhoi",NA,NA,22,4,3,1,0.44,4,3,1,37,22,0,NA,1,1,3,4,0.2,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-1088_23","VH21-1088","tanhoi","TMEB419",NA,23,4,2,1,1,1,3,1,71,26.3,0,NA,0,1,1,1,0,1,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0427_24","VH21-0427","tanhoi","CR24-16",NA,24,4,1,1,0.8,1,1,1,20,29,0,NA,0,1,1,1,0,1,3,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VF21-0109_25","VF21-0109","tanhoi","HL-S13","AR9-18",25,5,1,1,0.88,1,3,1,37,23.8,0,NA,0,1,1,1,0.3,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0072_26","VH21-0072","tanhoi","IBA972205",NA,26,5,2,1,0.96,1,3,3,49,24.5,0,NA,0,1,1,1,0,1,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-1081_27","VH21-1081","tanhoi","TMEB419",NA,27,5,3,1,1,1,3,2,67.5,23.8,0,NA,0,1,1,1,0,1,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VF21-0184_28","VF21-0184","tanhoi","KM140","AR9-18",28,5,4,1,1,1,3,1,70,18.5,0,NA,0,1,1,1,0.04,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_KM505_29","KM505","tanhoi",NA,NA,29,5,5,1,0.68,4,3,1,37,28.5,0,NA,1,2,3,3,0,1,3,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0439_30","VH21-0439","tanhoi","CR27-20",NA,30,5,6,1,0.84,1,3,1,46,22.4,0,NA,0,1,1,1,0,1,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_IBA980581_31","IBA980581","tanhoi",NA,NA,31,6,6,1,0.96,1,3,1,67,20.6,4.17,NA,1,1,1,1,0,1,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0600_32","VH21-0600","tanhoi","HL-S13",NA,32,6,5,1,0.84,1,3,3,9,19,85.71,NA,0,1,1,1,0,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VF21-0005_33","VF21-0005","tanhoi","HL-S13","CR24-3",33,6,4,1,1,1,3,1,78,23.4,4,NA,0,1,1,1,0.08,1,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VH21-0172_34","VH21-0172","tanhoi","IBA980505",NA,34,6,3,1,1,1,3,1,94.5,20.8,0,NA,0,1,1,1,0,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VF21-0146_35","VF21-0146","tanhoi","KM140","AR9-18",35,6,2,1,1,1,3,1,44,19.8,40,NA,0,1,1,1,0,1,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep1_VF21-0148_36","VF21-0148","tanhoi","KM140","AR9-18",36,6,1,1,0.84,1,3,1,28,17.5,14.29,NA,0,1,1,1,0.4,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep2_VH21-0172_37","VH21-0172","tanhoi","IBA980505",NA,37,7,1,2,0.96,1,3,1,60,20.5,25,NA,0,1,1,1,0,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep2_VH21-0779_38","VH21-0779","tanhoi","KU50",NA,38,7,2,2,1,1,3,2,28,26.5,16,NA,0,1,1,1,1,3,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep2_VH21-0402_39","VH21-0402","tanhoi","KM140",NA,39,7,3,2,0.92,1,3,1,93.5,21.3,8.7,NA,0,1,1,1,0,1,1,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep2_VH21-0095_40","VH21-0095","tanhoi","IBA972205",NA,40,7,4,2,1,1,3,1,77.5,22,8,NA,0,1,1,1,0,1,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep2_VH21-0203_41","VH21-0203","tanhoi","IBA980505",NA,41,7,5,2,1,1,NA,1,82.5,19.6,12,NA,0,1,1,1,0,1,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep2_VF21-0149_42","VF21-0149","tanhoi","KM140","AR9-18",42,7,6,2,1,1,3,1,43.5,18.4,12,NA,0,1,1,1,0,1,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep2_VH21-1081_43","VH21-1081","tanhoi","TMEB419",NA,43,8,6,2,1,1,3,2,68,23.5,12,NA,0,1,1,1,0,1,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep2_VF21-0005_44","VF21-0005","tanhoi","HL-S13","CR24-3",44,8,5,2,1,1,3,1,31.6,18.4,24,NA,0,1,1,1,0.4,2,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep2_VF21-0017_45","VF21-0017","tanhoi","HL-S14","AR9-18",45,8,4,2,1,1,3,3,51.2,26.8,8,NA,0,1,1,1,0.04,1,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep2_IBA980581_46","IBA980581","tanhoi",NA,NA,46,8,3,2,0.6,1,3,1,44.2,17,6.67,NA,1,1,1,1,0.5,1,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep2_VH21-0477_47","VH21-0477","tanhoi","AR9-18",NA,47,8,2,2,0.68,1,3,3,29,26.5,23.53,NA,0,1,1,1,0.5,2,2,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
"2024202DMEAR_tanhoi_rep2_VH21-0681_48","VH21-0681","tanhoi","KU50",NA,48,8,1,2,0.8,1,3,3,34.6,24.1,55,NA,0,1,1,1,0.9,1,3,NA,NA,"2024202DMEAR_tanh",5.5,4,9,25
