plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024206DMEPR_dona_rep2_VH22-0575_136,VH22-0575,TMEB419,NA,dona,136,9,8,2,0,1,1,,1,1,cylindrical,1,cream,57.8,22.8,0.00
2024206DMEPR_dona_rep2_VH22-0003_137,VH22-0003,IBA920057,NA,dona,137,9,9,2,0,0.5,1,,1,1,cylindrical,1,cream,13.6,22.8,0.00
2024206DMEPR_dona_rep2_VF22-0024_138,VF22-0024,CR24-16,HL-S14,dona,138,9,10,2,0,1,1,,1,1,conical,2,brown,16.6,18,0.00
2024206DMEPR_dona_rep2_VH22-0346_139,VH22-0346,TMEB419,NA,dona,139,9,11,2,0,1,1,,1,1,cylindrical,2,cream,20.4,25.4,20.00
2024206DMEPR_dona_rep2_VF22-0112_140,VF22-0112,KM419,TMEB419,dona,140,9,12,2,0,1,1,,1,1,cylindrical,1,cream,16.6,17.5,50.00
2024206DMEPR_dona_rep2_VH22-0119_141,VH22-0119,IBA980581,NA,dona,141,9,13,2,0,1,1,,1,1,cylindrical,1,cream,37.6,25.6,0.00
2024206DMEPR_dona_rep2_VF22-0161_142,VF22-0161,HL-S11,IBA980581,dona,142,9,14,2,0,0.2,1,,NA,NA,NA,NA,NA,NA, NA ,NA
2024206DMEPR_dona_rep2_VF22-0031_143,VF22-0031,TMEB419,KU50,dona,143,9,15,2,0,1,1,,1,1,cylindrical,1,brown,44.2,24.7,10.00
2024206DMEPR_dona_rep2_VF22-0121_144,VF22-0121,Rayong 11,AR35-1,dona,144,9,16,2,0,1,1,,1,1,cylindrical,1,brown,9,19.5,10.00
2024206DMEPR_dona_rep2_VH22-0287_145,VH22-0287,KM419,NA,dona,145,10,16,2,0,0.8,1,,1,1,conical,3,cream,13,23.3,12.50
2024206DMEPR_dona_rep2_VH22-0070_146,VH22-0070,CR25-4,NA,dona,146,10,15,2,0,1,1,,1,1,cylindrical,1,brown,17.4,22.3,0.00
2024206DMEPR_dona_rep2_VF22-0028_147,VF22-0028,TMEB419,HL-S11,dona,147,10,14,2,0,1,1,,1,1,cylindrical,1,cream,50.2,26,0.00
2024206DMEPR_dona_rep2_VH22-0336_148,VH22-0336,TMEB419,NA,dona,148,10,13,2,0,0.9,1,,1,1,cylindrical,1,cream,49.6,20.5,0.00
2024206DMEPR_dona_rep2_VH22-0061_149,VH22-0061,CR25-4,NA,dona,149,10,12,2,0,1,1,,1,1,cylindrical,1,cream,29.4,22,0.00
2024206DMEPR_dona_rep2_VF22-0167_150,VF22-0167,HL-S11,IBA980581,dona,150,10,11,2,0,0.8,1,,1,1,cylindrical,1,brown,36,23.6,0.00
2024206DMEPR_dona_rep2_VF22-0103_151,VF22-0103,HL-S11,IBA980581,dona,151,10,10,2,0,1,1,,1,1,conical,1,cream,28.6,20.4,0.00
2024206DMEPR_dona_rep2_VH22-0369_152,VH22-0369,TMEB419,NA,dona,152,10,9,2,0,1,1,,2,2,cylindrical,1,brown,31,25.2,20.00
2024206DMEPR_dona_rep2_VH22-0136_153,VH22-0136,IBA980581,NA,dona,153,10,8,2,0,1,1,,1,1,cylindrical,1,brown,38.2,24.2,0.00
2024206DMEPR_dona_rep2_VF22-0127_154,VF22-0127,HL-S11,IBA980581,dona,154,10,7,2,0,0.3,1,,NA,NA,NA,NA,NA,NA, NA ,NA
2024206DMEPR_dona_rep2_VH22-0627_155,VH22-0627,CR27-20,NA,dona,155,10,6,2,0,1,1,,1,1,cylindrical,1,brown,13,10,60.00
2024206DMEPR_dona_rep2_VF22-0030_156,VF22-0030,TMEB419,KU50,dona,156,10,5,2,0,1,1,,1,1,cylindrical,1,cream,15.8,14.5,40.00
2024206DMEPR_dona_rep2_Filler2_157,Filler2,NA,NA,dona,157,10,4,2,0,1,1,,1,1,cylindrical,1,brown,28.4,25.3,0.00
2024206DMEPR_dona_rep2_VF22-0101_158,VF22-0101,HL-S11,IBA980581,dona,158,10,3,2,0,1,1,,1,1,cylindrical,1,brown,28.8,27.4,0.00
2024206DMEPR_dona_rep2_TMEB419_159,TMEB419,NA,NA,dona,159,10,2,2,1,1,1,,1,1,cylindrical,1,brown,44.6,24.9,10.00
2024206DMEPR_dona_rep2_VF22-0140_160,VF22-0140,HL-S11,IBA980581,dona,160,10,1,2,0,0.9,1,,1,1,cylindrical,1,brown,23.2,21.3,22.22
