plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,Column1,1M_Vigor,3M_Vigor,1M_CMD,3M_CMD,6M_CMD,CMD_harvest,Root Shape,percentage_root_rot,Plant Type,Logging %,Stem Count,root_type,Root_skin_color,plot_weight,starch_content
2024207DMEAR_dona_rep3_CR24-16_41,CR24-16,NA,NA,dona,41,11,1,3,1,1.00,3,2,1,1,1,1,Cylindrical ,8.00,2,0,25,,Dark_brown,12,20.5
2024207DMEAR_dona_rep3_VH21- 1506_42,VH21-1506,IBA972205,NA,dona,42,11,2,3,0,0.80,3,3,1,1,1,1,Cylindrical ,0.00,1,0,47,,Brown ,46.1,16
2024207DMEAR_dona_rep3_VF21-0301_43,VF21-0301,HL-S14,AR9-18,dona,43,11,3,3,0,0.84,4,3,1,1,1,1,Cylindrical ,0.00,1,0,42,,Brown ,59.1,21
2024207DMEAR_dona_rep3_IBA980581_44,IBA980581,NA,NA,dona,44,11,4,3,1,0.96,3,4,1,1,1,1,Conical ,0.00,2,0,53,,Cream,48,17.3
2024207DMEAR_dona_rep3_HLH21-0066_45,HLH21-0066,KU50,NA,dona,45,12,4,3,0,1.00,5,5,1,1,1,1,Cylindrical ,0.00,1,15,43,,Brown ,29.9,21
2024207DMEAR_dona_rep3_HLF21-0022_46,HLF21-0022,SM937-26,AR100-13,dona,46,12,3,3,0,0.96,2,4,1,1,1,1,Cylindrical ,0.00,1,0,46,,Brown ,69.1,26.7
2024207DMEAR_dona_rep3_VH21- 1516_47,VH21-1516,IBA980505,NA,dona,47,12,2,3,0,0.96,3,3,1,1,1,1,Conical ,0.00,1,0,49,,Cream,84.6,20.1
2024207DMEAR_dona_rep3_HLF21-0506_48,HLF21-0506,NA,NA,dona,48,12,1,3,0,1.00,3,3,1,1,1,1,Cylindrical ,0.00,2,10,68,,Cream,64.9,24
2024207DMEAR_dona_rep3_KM505_49,KM505,NA,NA,dona,49,13,1,3,1,0.92,3,3,2,2,2,2,Cylindrical ,0.00,1,15,28,,Dark_brown,49.4,27.5
2024207DMEAR_dona_rep3_VF21-0289_50,VF21-0289,AR9-18,HL-S14,dona,50,13,2,3,0,1.00,3,3,1,1,1,1,Cylindrical ,0.00,1,0,55,,Brown ,59.5,20.7
